Bronx-Whitestone Bridge,New York,Northbound (to Bronx),40.814763,-73.836261,8,
Bronx-Whitestone Bridge,New York,Southbound (to Queens),40.81476,-73.836678,8,
Brooklyn Battery Tunnel,New York,Enter Manhattan,40.680723,-74.004666,8,
Brooklyn Battery Tunnel,New York,Enter Brooklyn,40.680641,-74.004935,8,
George Washington Bridge,New York,Northbound,40.854109,-73.965915,14,
Goethals Bridge,New York,Northbound,40.627674,-74.182064,14,
Henry Hudson Bridge,New York,Northbound,40.876076,-73.924779,5.5,
Henry Hudson Bridge,New York,Southbound,40.876104,-73.924818,5.5,
Holland Tunnel,New York,Enter NYC,40.72979,-74.038622,14,
Lincoln Tunnel,New York,Enter NYC,40.764922,-74.02351,14,
Queens Midtown Tunnel,New York,Enter Manhattan,40.741515,-73.95251,8,
Queens Midtown Tunnel,New York,Enter Queens,40.741277,-73.952545,8,
Tappan Zee Bridge,New York,Northbound,41.064902,-73.864908,5,
Throgs Neck Bridge,New York,Northbound,40.817939,-73.80351,8,
Throgs Neck Bridge,New York,Southbound,40.817626,-73.803605,8,
RFK Bridge,New York,Enter Manhattan,40.798627,-73.923336,8,
RFK Bridge,New York,Exit Manhattan,40.79822,-73.923665,8,
RFK Bridge,New York,Northbound (No Manhattan),40.795276,-73.921391,8,
RFK Bridge,New York,Southbound (No Manhattan),40.795473,-73.921792,8,
Verrazano-Narrows Bridge,New York,Southbound,40.6028,-74.063507,16,
New Jersey Turnpike,New Jersey,Exit Turnpike (Del Mem),39.686398,-75.448,,
New Jersey Turnpike,New Jersey,Enter Turnpike (Del Mem),39.68532,-75.447505,,
New Jersey Turnpike,New Jersey,Exit Turnpike (Verrazano),40.641185,-74.209835,,
New Jersey Turnpike,New Jersey,Enter Turnpike (Verrazano),40.640662,-74.209974,,
New Jersey Turnpike,New Jersey,Exit Turnpike (Holland),40.706205,-74.061863,,
New Jersey Turnpike,New Jersey,Enter Turnpike (Holland),40.706428,-74.062056,,
New Jersey Turnpike,New Jersey,Enter Turnpike (Lincoln),40.777659,-74.058538,,
New Jersey Turnpike,New Jersey,Exit Turnpike (Lincoln),40.777337,-74.057786,,
Delaware Memorial Bridge,Delaware,Southbound,39.69632,-75.545397,4,
Newark Toll Plaza,Delaware,Southbound,39.645244,-75.764712,4,
Newark Toll Plaza,Maryland,Northbound,39.645526,-75.76213,8,
Baltimore Harbor Tunnel,Maryland,Northbound,39.240798,-76.587191,4,
Baltimore Harbor Tunnel,Maryland,Southbound,39.241234,-76.587216,4,
Fort McHenry Tunnel,Maryland,Northbound,39.266215,-76.561967,4,
Fort McHenry Tunnel,Maryland,Southbound,39.266727,-76.562766,4,
Francis Scott Key Bridge,Maryland,Northbound,39.229732,-76.510373,4,
Francis Scott Key Bridge,Maryland,Southbound,39.230009,-76.510647,4,
JFK Memorial Highway,Maryland,Northbound (MET Bridge),39.588639,-76.072271,8,
